Data,Municípios,Vacina,Grupo,Doses Aplicadas,Doses Aplicadas (D1),Doses Aplicadas (D2),Doses Aplicadas (DU),Doses Aplicadas (REF)
10/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,3,3,0,0,0
10/03/2021,Aquidauana,Oxford/Fiocruz,Trabalhadores de Saúde,2,2,0,0,0
10/03/2021,Aquidauana,Oxford/Fiocruz,Idosos de 80 anos ou mais,1,1,0,0,0
10/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,21,0,21,0,0
11/03/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 75 a 79 anos,65,65,0,0,0
11/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,89,7,82,0,0
11/03/2021,Aquidauana,Oxford/Fiocruz,Trabalhadores de Saúde,6,6,0,0,0
11/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,6,0,6,0,0
12/03/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 75 a 79 anos,163,163,0,0,0
12/03/2021,Aquidauana,Oxford/Fiocruz,Trabalhadores de Saúde,32,32,0,0,0
12/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,82,15,67,0,0
12/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,5,5,0,0,0
12/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,2,0,2,0,0
15/03/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 70 a 74 anos,63,63,0,0,0
15/03/2021,Aquidauana,Oxford/Fiocruz,Trabalhadores de Saúde,10,10,0,0,0
15/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,5,5,0,0,0
15/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,15,0,15,0,0
15/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,3,0,3,0,0
16/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,59,59,0,0,0
16/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,7,7,0,0,0
16/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,5,0,5,0,0
17/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,170,170,0,0,0
17/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,46,46,0,0,0
17/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,16,0,16,0,0
18/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,363,363,0,0,0
18/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,50,50,0,0,0
18/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,1,1,0,0,0
18/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,6,0,6,0,0
19/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,279,279,0,0,0
19/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,11,8,3,0,0
19/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,2,2,0,0,0
19/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,19,1,18,0,0
20/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,58,58,0,0,0
20/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,30,28,2,0,0
20/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,2,2,0,0,0
21/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,24,24,0,0,0
21/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,4,4,0,0,0
21/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,2,1,1,0,0
22/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,318,318,0,0,0
22/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,167,167,0,0,0
22/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,61,61,0,0,0
22/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,44,38,6,0,0
22/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,40,17,23,0,0
23/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,119,119,0,0,0
23/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,80,80,0,0,0
23/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,11,10,1,0,0
23/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,34,7,27,0,0
23/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 60 a 64 anos,7,7,0,0,0
24/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,72,71,1,0,0
24/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,32,32,0,0,0
24/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,23,19,4,0,0
24/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,60,12,48,0,0
24/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,11,5,6,0,0
24/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas com Comorbidades,1,1,0,0,0
25/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,42,41,1,0,0
25/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,36,36,0,0,0
25/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,8,7,1,0,0
25/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,21,5,16,0,0
25/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,4,3,1,0,0
26/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,64,61,3,0,0
26/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,39,38,1,0,0
26/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,35,14,21,0,0
26/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,31,4,27,0,0
26/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,1,1,0,0,0
28/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,415,415,0,0,0
28/03/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 65 a 69 anos,112,112,0,0,0
28/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,6,6,0,0,0
28/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,4,4,0,0,0
28/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,1,1,0,0,0
29/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,135,135,0,0,0
29/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,7,7,0,0,0
29/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,3,2,1,0,0
29/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,1,1,0,0,0
29/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,2,0,2,0,0
30/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,71,71,0,0,0
30/03/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 65 a 69 anos,71,71,0,0,0
30/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,5,5,0,0,0
30/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,6,3,3,0,0
30/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,3,3,0,0,0
30/03/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,3,2,1,0,0
30/03/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 75 a 79 anos,1,1,0,0,0
31/03/2021,Aquidauana,Oxford/Fiocruz,Quilombolas,40,40,0,0,0
31/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,28,28,0,0,0
31/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,7,7,0,0,0
31/03/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,7,2,5,0,0
31/03/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,2,0,2,0,0
01/04/2021,Aquidauana,Oxford/Fiocruz,Forças de Segurança e Salvamento,5,5,0,0,0
03/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 60 a 64 anos,474,474,0,0,0
03/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,55,55,0,0,0
03/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,16,8,8,0,0
03/04/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,3,2,1,0,0
03/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,4,1,3,0,0
03/04/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,1,1,0,0,0
04/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 60 a 64 anos,341,341,0,0,0
04/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,26,26,0,0,0
04/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,8,6,2,0,0
04/04/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,5,5,0,0,0
04/04/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,2,2,0,0,0
04/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,2,2,0,0,0
05/04/2021,Aquidauana,Oxford/Fiocruz,Forças de Segurança e Salvamento,196,196,0,0,0
05/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 60 a 64 anos,185,185,0,0,0
05/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,69,49,20,0,0
05/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,46,12,34,0,0
05/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,21,7,14,0,0
05/04/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,9,7,2,0,0
06/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 60 a 64 anos,78,78,0,0,0
06/04/2021,Aquidauana,Oxford/Fiocruz,Forças de Segurança e Salvamento,36,36,0,0,0
06/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,40,34,6,0,0
06/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,59,6,53,0,0
06/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,30,3,27,0,0
06/04/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,9,3,6,0,0
06/04/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,6,2,4,0,0
07/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,14,12,2,0,0
07/04/2021,Aquidauana,Oxford/Fiocruz,Forças de Segurança e Salvamento,5,5,0,0,0
07/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 60 a 64 anos,4,3,1,0,0
07/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,43,1,42,0,0
07/04/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,23,1,22,0,0
07/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,17,0,17,0,0
07/04/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,2,0,2,0,0
08/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,49,19,30,0,0
08/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 60 a 64 anos,7,7,0,0,0
08/04/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,8,1,7,0,0
08/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,157,0,157,0,0
08/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,69,0,69,0,0
08/04/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,1,0,1,0,0
09/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 60 a 64 anos,54,54,0,0,0
09/04/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,8,6,2,0,0
09/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,175,2,173,0,0
09/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,11,0,11,0,0
09/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,8,0,8,0,0
09/04/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,2,0,2,0,0
12/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 60 a 64 anos,28,28,0,0,0
12/04/2021,Aquidauana,Oxford/Fiocruz,Forças de Segurança e Salvamento,15,15,0,0,0
12/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 65 a 69 anos,8,8,0,0,0
12/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 60 a 64 anos,11,6,5,0,0
12/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,189,4,185,0,0
12/04/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,15,1,14,0,0
12/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,155,0,155,0,0
12/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,19,0,19,0,0
12/04/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,6,0,6,0,0
13/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 60 a 64 anos,40,40,0,0,0
13/04/2021,Aquidauana,Oxford/Fiocruz,Forças de Segurança e Salvamento,22,22,0,0,0
13/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 65 a 69 anos,12,12,0,0,0
13/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas com Comorbidades,2,2,0,0,0
13/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 70 a 74 anos,2,2,0,0,0
13/04/2021,Aquidauana,Oxford/Fiocruz,Trabalhadores de Saúde,1,1,0,0,0
13/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,126,0,126,0,0
13/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,72,0,72,0,0
13/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,13,0,13,0,0
13/04/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,6,0,6,0,0
13/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 60 a 64 anos,5,0,5,0,0
13/04/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,4,0,4,0,0
14/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 60 a 64 anos,55,55,0,0,0
14/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 65 a 69 anos,19,19,0,0,0
14/04/2021,Aquidauana,CoronaVac/Butantan,Indígenas Não Aldeados,18,17,1,0,0
14/04/2021,Aquidauana,Oxford/Fiocruz,Forças de Segurança e Salvamento,8,8,0,0,0
14/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 70 a 74 anos,6,6,0,0,0
14/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 60 a 64 anos,10,5,5,0,0
14/04/2021,Aquidauana,Oxford/Fiocruz,Trabalhadores de Saúde,3,3,0,0,0
14/04/2021,Aquidauana,Oxford/Fiocruz,Idosos de 80 anos ou mais,1,1,0,0,0
14/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 75 a 79 anos,1,1,0,0,0
14/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,104,0,104,0,0
14/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,55,0,55,0,0
14/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,22,0,22,0,0
14/04/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,9,0,9,0,0
14/04/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,3,0,3,0,0
15/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 65 a 69 anos,13,13,0,0,0
15/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 70 a 74 anos,6,6,0,0,0
15/04/2021,Aquidauana,Oxford/Fiocruz,Trabalhadores de Saúde,4,4,0,0,0
15/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 60 a 64 anos,3,3,0,0,0
15/04/2021,Aquidauana,Oxford/Fiocruz,Forças de Segurança e Salvamento,1,1,0,0,0
15/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 75 a 79 anos,1,1,0,0,0
15/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,54,0,54,0,0
15/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,45,0,45,0,0
15/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,27,0,27,0,0
15/04/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,9,0,9,0,0
15/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 60 a 64 anos,6,0,6,0,0
15/04/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,3,0,3,0,0
16/04/2021,Aquidauana,CoronaVac/Butantan,Indígenas Não Aldeados,96,13,83,0,0
16/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 60 a 64 anos,11,11,0,0,0
16/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 65 a 69 anos,2,2,0,0,0
16/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas com Comorbidades,1,1,0,0,0
16/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,38,0,38,0,0
16/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,31,0,31,0,0
16/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,10,0,10,0,0
16/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 60 a 64 anos,4,0,4,0,0
16/04/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,4,0,4,0,0
16/04/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,1,0,1,0,0
19/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 60 a 64 anos,219,219,0,0,0
19/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 65 a 69 anos,14,14,0,0,0
19/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 60 a 64 anos,17,13,4,0,0
19/04/2021,Aquidauana,Oxford/Fiocruz,Quilombolas,10,10,0,0,0
19/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 70 a 74 anos,3,3,0,0,0
19/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 75 a 79 anos,2,2,0,0,0
19/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas com Comorbidades,1,1,0,0,0
19/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,329,0,329,0,0
19/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,76,0,76,0,0
19/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,27,0,27,0,0
19/04/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,8,0,8,0,0
19/04/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,4,0,4,0,0
19/04/2021,Aquidauana,CoronaVac/Butantan,Indígenas Não Aldeados,2,0,2,0,0
20/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 60 a 64 anos,110,110,0,0,0
20/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 65 a 69 anos,16,16,0,0,0
20/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 70 a 74 anos,4,4,0,0,0
20/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 75 a 79 anos,2,2,0,0,0
20/04/2021,Aquidauana,CoronaVac/Butantan,Indígenas Não Aldeados,1,1,0,0,0
20/04/2021,Aquidauana,Oxford/Fiocruz,Forças de Segurança e Salvamento,1,1,0,0,0
20/04/2021,Aquidauana,Oxford/Fiocruz,Trabalhadores de Saúde,1,1,0,0,0
20/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,16,0,16,0,0
20/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,13,0,13,0,0
20/04/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,4,0,4,0,0
20/04/2021,Aquidauana,CoronaVac/Butantan,Trabalhadores de Saúde,3,0,3,0,0
20/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,2,0,2,0,0
20/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 60 a 64 anos,1,0,1,0,0
22/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 60 a 64 anos,26,26,0,0,0
22/04/2021,Aquidauana,Oxford/Fiocruz,Pessoas de 65 a 69 anos,3,3,0,0,0
22/04/2021,Aquidauana,Oxford/Fiocruz,Trabalhadores de Saúde,2,2,0,0,0
22/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 70 a 74 anos,11,0,11,0,0
22/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 65 a 69 anos,8,0,8,0,0
22/04/2021,Aquidauana,CoronaVac/Butantan,Pessoas de 75 a 79 anos,4,0,4,0,0
22/04/2021,Aquidauana,CoronaVac/Butantan,Idosos de 80 anos ou mais,1,0,1,0,0
